Date,Open,High,Low,Close,Volume
2020-07-23,797.85,800.29,794.59,800.29,81310512.0
2020-07-24,798.89,798.89,760.56,772.29,144683120.0
2020-07-27,772.29,772.29,726.02,729.93,140210372.0
2020-07-28,729.93,757.5,729.93,756.17,111583632.0
2020-07-29,755.14,755.14,722.85,735.47,92269440.0
2020-07-30,735.16,746.74,735.16,746.02,62543868.0
2020-07-31,745.33,747.56,731.14,740.73,66453880.0
2020-08-03,740.33,758.3,738.64,757.86,79883856.0
2020-08-04,757.86,768.46,757.86,768.22,72689488.0
2020-08-05,768.22,782.09,761.26,780.71,110223836.0
2020-08-06,780.69,787.27,776.04,781.6,66766762.0
2020-08-07,781.61,785.99,778.45,782.15,72607672.0
2020-08-10,782.15,791.67,782.15,784.3,86967194.0
2020-08-11,784.74,788.92,781.04,784.57,63514824.0
2020-08-12,784.57,790.01,784.23,788.42,87344198.0
2020-08-13,788.42,795.69,788.42,795.09,66820580.0
2020-08-14,795.09,801.61,789.12,791.98,87204378.0
2020-08-17,791.98,793.61,782.52,791.54,67622834.0
2020-08-18,791.54,792.13,784.93,786.95,57131980.0
2020-08-19,787.23,791.85,786.01,789.66,56155690.0
2020-08-20,789.41,793.35,783.57,785.78,80400420.0
2020-08-21,786.14,795.05,786.14,793.22,78516980.0
2020-08-24,793.46,810.17,793.46,809.34,107756631.0
2020-08-25,809.69,818.94,809.34,815.27,112445460.0
2020-08-26,815.19,816.68,811.45,812.36,94593872.0
2020-08-27,812.47,814.64,810.68,814.55,76081968.0
2020-08-28,814.55,828.88,814.55,821.93,130092054.0
2020-08-31,822.01,831.76,820.66,823.93,87875120.0
2020-09-01,823.93,832.87,821.74,832.03,86750296.0
2020-09-03,832.03,844.27,832.03,843.64,156700688.0
2020-09-04,843.64,843.64,833.54,840.54,110895282.0
2020-09-07,840.64,843.8,824.36,824.36,113810830.0
2020-09-08,824.62,829.22,819.02,827.57,91154280.0
2020-09-09,827.5,828.38,816.51,824.42,91905850.0
2020-09-10,824.42,832.61,824.42,825.85,146391886.0
2020-09-11,825.81,827.83,821.97,826.82,68280838.0
2020-09-14,825.69,833.09,825.69,831.69,72573790.0
2020-09-15,832.24,835.42,831.13,833.48,105197510.0
2020-09-16,833.31,834.52,831.33,834.5,60912260.0
2020-09-17,834.6,837.76,829.08,835.71,96737580.0
2020-09-18,831.84,842.1,831.84,841.65,100770540.0
2020-09-21,841.28,852.65,841.28,849.05,120437060.0
2020-09-22,851.54,854.69,846.03,852.72,135187808.0
2020-09-23,852.88,860.34,852.88,858.3,124149792.0
2020-09-24,858.3,858.89,852.29,853.21,101598600.0
2020-09-25,853.21,856.79,850.1,854.71,120093116.0
2020-09-28,854.84,863.98,854.84,863.31,180721906.0
2020-09-29,863.59,871.99,856.2,856.2,148662884.0
2020-09-30,856.2,860.1,852.54,858.54,114253672.0
2020-10-01,859.27,868.3,859.27,867.58,118836944.0
2020-10-02,867.58,870.8,850.61,861.51,168055070.0
2020-10-05,861.51,869.09,861.51,867.7,129130840.0
2020-10-06,867.7,872.39,866.12,871.37,155222112.0
2020-10-07,870.98,876.31,867.06,870.85,163553616.0
2020-10-08,870.85,873.13,864.55,869.7,139511510.0
2020-10-09,869.82,875.52,868.36,874.53,127792058.0
2020-10-12,874.53,882.84,871.58,874.9,148436964.0
2020-10-13,874.58,879.25,872.36,878.35,119398080.0
2020-10-14,878.35,892.25,878.35,892.15,247653726.0
2020-10-15,896.5,901.71,893.94,899.2,183315534.0
2020-10-16,899.58,906.17,892.7,901.59,181197910.0
2020-10-19,901.59,906.16,899.61,903.51,172496273.0
2020-10-20,903.57,909.43,899.42,909.19,178329472.0
2020-10-21,909.49,918.14,905.08,906.1,175782202.0
2020-10-22,906.1,918.3,901.96,918.3,157796594.0
2020-10-23,918.84,930.59,918.84,930.3,234690121.0
2020-10-26,929.5,942.72,919.56,919.56,174122040.0
2020-10-27,919.56,926.52,914.72,915.46,226343854.0
2020-10-28,913.31,916.0,888.88,888.88,194631056.0
2020-10-29,887.99,894.19,879.74,882.32,137865484.0
2020-10-30,886.68,893.42,875.84,892.55,139040720.0
2020-11-02,892.68,900.03,889.83,899.27,85424514.0
2020-11-03,899.27,904.78,897.3,902.14,112454657.0
2020-11-04,902.38,910.59,900.74,905.48,132021072.0
2020-11-05,905.48,913.2,903.64,903.64,107461872.0
2020-11-06,903.68,907.67,899.51,902.91,80805984.0
2020-11-09,902.91,917.42,902.91,917.42,115759408.0
2020-11-10,917.45,929.66,916.5,916.5,145449472.0
2020-11-11,916.98,919.95,910.39,916.68,121278686.0
2020-11-12,916.89,923.0,916.21,923.0,88152734.0
2020-11-13,923.0,931.2,923.0,931.2,129003766.0
2020-11-16,931.2,939.1,915.23,915.97,175407567.0
2020-11-17,916.25,934.65,916.25,934.65,137689506.0
2020-11-18,935.24,939.62,931.18,937.67,165450016.0
2020-11-19,938.6,945.06,936.32,944.92,174253216.0
2020-11-20,944.85,950.89,942.28,950.89,136174948.0
2020-11-23,950.98,961.35,946.14,960.03,176800700.0
2020-11-24,959.99,964.53,948.67,959.61,191266336.0
2020-11-25,959.61,963.81,957.09,960.63,184933930.0
2020-11-26,960.63,964.16,953.46,964.16,193266694.0
2020-11-27,964.16,971.11,963.69,971.11,159454414.0
2020-11-30,971.39,975.46,965.89,965.89,196251830.0
2020-12-01,965.89,976.44,951.92,973.9,225903460.0
2020-12-02,976.35,981.28,973.58,979.95,222016238.0
2020-12-03,979.95,986.4,978.16,985.44,191786080.0
2020-12-04,985.44,988.68,983.03,984.34,187373146.0
2020-12-07,984.25,992.59,984.07,992.01,154157240.0
2020-12-08,992.01,996.64,988.71,992.62,152557674.0
2020-12-09,993.61,1004.61,993.61,1004.03,189402860.0
2020-12-10,1004.42,1008.6,994.28,994.28,197296172.0
2020-12-11,994.28,1008.65,994.28,1008.65,144160654.0
2020-12-14,1008.86,1024.28,1008.86,1024.28,184017856.0
2020-12-15,1024.4,1025.34,1009.8,1013.02,182310132.0
2020-12-16,1013.02,1031.21,1013.02,1029.72,186386172.0
2020-12-17,1030.39,1030.39,1015.86,1016.95,230606880.0
2020-12-18,1016.95,1037.98,1016.95,1036.65,201754440.0
2020-12-21,1038.0,1052.85,1038.0,1049.71,204586280.0
2020-12-22,1051.17,1053.81,1043.8,1052.23,209736744.0
2020-12-23,1052.23,1058.91,1043.88,1045.7,209764794.0
2020-12-24,1045.97,1051.56,1013.9,1033.95,231912013.0
2020-12-25,1033.86,1052.16,1026.05,1052.13,171922080.0
2020-12-28,1052.13,1063.09,1047.45,1054.23,206214394.0
2020-12-29,1054.23,1062.61,1050.05,1058.39,159388800.0
2020-12-30,1059.2,1069.5,1055.25,1059.16,195672120.0
2020-12-31,1059.16,1074.02,1058.9,1070.77,137012124.0
2021-01-04,1072.44,1097.61,1072.44,1091.87,243434052.0
